table,column,data_type,is_nullable,column_default,column_key,extra,estimated_table_rows,total_rows,non_null_rows,distinct_non_null_values,code_hits,sample_values_json
achievements,id,bigint,NO,,PRI,auto_increment,49,49,49,49,,[]
achievements,code,varchar,NO,,UNI,,49,49,49,49,,[]
achievements,name,varchar,NO,,,,49,49,49,49,,[]
achievements,description,text,NO,,,,49,49,49,49,220,[]
achievements,icon,varchar,NO,'trophy',,,49,49,49,45,403,[]
achievements,points_reward,int,NO,0,,,49,49,49,17,61,[]
achievements,category,enum,YES,'usage',MUL,,49,49,49,9,161,[]
achievements,plan_type,varchar,YES,'free',,,49,49,49,3,60,"[{""value"":""all"",""qty"":25},{""value"":""pro"",""qty"":16},{""value"":""free"",""qty"":8}]"
achievements,sort_order,int,YES,0,,,49,49,49,49,51,[]
achievements,active,tinyint,NO,1,MUL,,49,49,49,1,77,"[{""value"":1,""qty"":49}]"
achievements,created_at,timestamp,YES,NULL,,,49,49,49,3,,"[{""value"":""2026-02-04 21:57:15"",""qty"":30},{""value"":""2026-02-03 21:00:22"",""qty"":15},{""value"":""2026-02-03 21:24:25"",""qty"":4}]"
achievements,updated_at,timestamp,YES,NULL,,,49,49,49,2,,"[{""value"":""2026-02-04 21:57:15"",""qty"":43},{""value"":""2026-02-04 21:57:14"",""qty"":6}]"
agendamentos,id,bigint,NO,,PRI,auto_increment,51,51,51,51,,[]
agendamentos,user_id,int,NO,,MUL,,51,51,51,6,,[]
agendamentos,conta_id,int,YES,NULL,MUL,,51,51,43,10,218,[]
agendamentos,titulo,varchar,NO,,,,51,51,51,41,176,[]
agendamentos,descricao,text,YES,NULL,,,51,51,0,0,326,[]
agendamentos,tipo,enum,YES,NULL,,,51,51,51,2,687,"[{""value"":""despesa"",""qty"":36},{""value"":""receita"",""qty"":15}]"
agendamentos,forma_pagamento,varchar,YES,NULL,,,51,51,22,2,104,"[{""value"":""pix"",""qty"":16},{""value"":""boleto"",""qty"":6}]"
agendamentos,categoria_id,int,YES,NULL,MUL,,51,51,51,26,202,[]
agendamentos,valor_centavos,bigint,YES,NULL,,,51,51,51,42,0,[]
agendamentos,moeda,char,YES,'BRL',,,51,51,51,1,24,"[{""value"":""BRL"",""qty"":51}]"
agendamentos,data_pagamento,datetime,NO,,,,51,51,51,43,52,[]
agendamentos,proxima_execucao,datetime,YES,NULL,,,51,51,51,44,0,[]
agendamentos,notificado_em,datetime,YES,NULL,,,51,51,12,10,6,[]
agendamentos,lembrete_antecedencia_em,datetime,YES,NULL,,,51,51,2,2,6,"[{""value"":""2026-02-10 10:48:02"",""qty"":1},{""value"":""2026-03-02 13:41:02"",""qty"":1}]"
agendamentos,concluido_em,datetime,YES,NULL,,,51,51,7,7,0,[]
agendamentos,lembrar_antes_segundos,int,YES,0,,,51,51,51,8,21,[]
agendamentos,canal_email,tinyint,YES,1,,,51,51,51,2,18,"[{""value"":1,""qty"":34},{""value"":0,""qty"":17}]"
agendamentos,canal_inapp,tinyint,YES,1,,,51,51,51,1,18,"[{""value"":1,""qty"":51}]"
agendamentos,recorrente,tinyint,NO,0,,,51,51,51,2,63,"[{""value"":0,""qty"":31},{""value"":1,""qty"":20}]"
agendamentos,eh_parcelado,tinyint,NO,0,,,51,51,51,2,37,"[{""value"":0,""qty"":45},{""value"":1,""qty"":6}]"
agendamentos,numero_parcelas,int,YES,NULL,,,51,51,6,4,39,"[{""value"":2,""qty"":2},{""value"":12,""qty"":2},{""value"":3,""qty"":1},{""value"":4,""qty"":1}]"
